Network 	 $\epsilon_{\ccdf}$  	  $\epsilon_{\knn}$ 	 $\epsilon_{\cco}$ 
394669 	 0.4893 	 0.3466 	 0.4022 
394670 	 0.2952 	 0.3487 	 0.2631 
394671 	 0.1982 	 0.3489 	 0.1296 
394672 	 0.4756 	 0.3833 	 0.2464 
394673 	 0.6432 	 0.4264 	 0.3964 
394674 	 0.4401 	 0.4358 	 0.2883 
394675 	 0.4299 	 0.5386 	 0.3976 
394676 	 0.5534 	 0.3957 	 0.4832 
394677 	 0.5874 	 0.3620 	 0.5786 
394678 	 0.4078 	 0.8913 	 0.3279 
394679 	 0.5067 	 0.5402 	 0.4542 
394680 	 0.4266 	 0.5066 	 0.5027 
394681 	 0.4100 	 0.4967 	 0.4832 
394682 	 0.0180 	 0.0003 	 0.0251 
394683 	 0.0000 	 0.0000 	 0.0000 
394684 	 0.0500 	 0.0500 	 0.0500 
394685 	 0.1063 	 0.1233 	 0.0966 
394686 	 0.3614 	 0.4377 	 0.5408 
394687 	 0.4586 	 0.4634 	 0.4507 
394688 	 0.5771 	 0.4202 	 0.4815 
394689 	 0.7345 	 0.4802 	 0.5192 
394690 	 0.3144 	 0.5619 	 0.2561 
394691 	 0.4892 	 0.4619 	 0.5114 
394692 	 0.4857 	 0.3969 	 0.4159 
394693 	 0.4028 	 0.3886 	 0.3548 
394694 	 0.4187 	 0.4818 	 0.2873 
394695 	 0.4844 	 0.6347 	 0.4061 
394696 	 0.3730 	 0.4076 	 0.3343 
394697 	 0.3404 	 0.4474 	 0.2885 
394698 	 0.5010 	 0.5916 	 0.4803 
394699 	 0.5066 	 0.4061 	 0.3956 
394700 	 0.5076 	 0.3644 	 0.4012 
394701 	 0.6588 	 0.4622 	 0.5286 
394702 	 0.4638 	 0.7552 	 0.3677 
394703 	 0.4884 	 0.5026 	 0.4649 
394704 	 0.4193 	 0.4246 	 0.5570 
394705 	 0.3659 	 0.4235 	 0.4032 
394706 	 0.2083 	 0.2645 	 0.2374 
394707 	 0.0500 	 0.0500 	 0.0500 
394708 	 0.1839 	 0.2467 	 0.2541 
394709 	 0.1217 	 0.1474 	 0.1449 
394710 	 0.0685 	 0.0701 	 0.0416 
394711 	 0.3712 	 0.5296 	 0.3979 
394712 	 0.3453 	 0.4442 	 0.2634 
394713 	 0.3992 	 0.5430 	 0.3608 
394714 	 0.4764 	 0.4267 	 0.3265 
394715 	 0.5940 	 0.5851 	 0.4632 
394716 	 0.5492 	 0.5844 	 0.5353 
394717 	 0.3453 	 0.3341 	 0.2082 
394718 	 0.3317 	 0.3042 	 0.1640 
394719 	 0.5577 	 0.3921 	 0.3775 
394720 	 0.1657 	 0.4330 	 0.1360 
394721 	 0.2676 	 0.2549 	 0.2488 
394722 	 0.3304 	 0.4055 	 0.1781 
394723 	 0.3424 	 0.3395 	 0.1923 
394724 	 0.2667 	 0.3221 	 0.2255 
394725 	 0.6886 	 0.3947 	 0.4877 
394726 	 0.6275 	 0.4525 	 0.6211 
394727 	 0.3500 	 0.2856 	 0.3376 
394728 	 0.4000 	 0.4152 	 0.4089 
394729 	 0.3237 	 0.3831 	 0.3353 
394730 	 0.2558 	 0.2506 	 0.2625 
394731 	 0.0184 	 0.0003 	 0.0250 
394732 	 0.0500 	 0.0500 	 0.0500 
394733 	 0.3991 	 0.4960 	 0.3850 
394734 	 0.6763 	 0.4816 	 0.4375 
394735 	 0.4221 	 0.5110 	 0.4518 
394736 	 0.3779 	 0.3770 	 0.4056 
394737 	 0.4351 	 0.6340 	 0.4037 
394738 	 0.4356 	 0.4703 	 0.3321 
394739 	 0.3630 	 0.3818 	 0.2806 
394740 	 0.4621 	 0.4657 	 0.3602 
394741 	 0.5509 	 0.6166 	 0.4594 
394742 	 0.4858 	 0.4074 	 0.5249 
394743 	 0.5775 	 0.5414 	 0.5427 
394744 	 0.3687 	 0.3890 	 0.3133 
394745 	 0.2980 	 0.4600 	 0.2462 
394746 	 0.3392 	 0.4442 	 0.3162 
394747 	 0.5339 	 0.3408 	 0.4495 
394748 	 0.4865 	 0.3690 	 0.4238 
394749 	 0.4565 	 0.4769 	 0.4535 
394750 	 0.5338 	 0.3987 	 0.4850 
394751 	 0.4882 	 0.5641 	 0.5799 
394752 	 0.4215 	 0.5649 	 0.5191 
394753 	 0.0500 	 0.0500 	 0.0250 
394757 	 0.2836 	 0.2996 	 0.2375 
394758 	 0.4814 	 0.4400 	 0.4307 
394759 	 0.3706 	 0.3699 	 0.3795 
394760 	 0.1663 	 0.1922 	 0.1623 
394761 	 0.3730 	 0.4171 	 0.3220 
394762 	 0.4049 	 0.4736 	 0.5174 
394763 	 0.1386 	 0.1740 	 0.1445 
