manifestacion,hour,hour_rel,ami,pairwise,n_nodes_common,n_nodes_ref
nat,429576,-48.0,0.0,0.12090163934426229,91,592
nat,429577,-47.0,0.0,0.11707317073170732,84,592
nat,429578,-46.0,0.0,0.23684210526315788,70,592
nat,429579,-45.0,0.0,0.19140625,61,592
nat,429580,-44.0,0.0,0.18681318681318682,34,592
nat,429581,-43.0,0.0,0.2,19,592
nat,429582,-42.0,0.0,0.45454545454545453,13,592
nat,429583,-41.0,0.0,0.13333333333333333,15,592
nat,429584,-40.0,0.0,0.5,9,592
nat,429585,-39.0,0.0,0.3333333333333333,8,592
nat,429586,-38.0,0.0,0.14814814814814814,35,592
nat,429587,-37.0,0.0,0.08433734939759036,55,592
nat,429588,-36.0,0.0,0.09278350515463918,52,592
nat,429589,-35.0,0.0,0.11952191235059761,63,592
nat,429590,-34.0,0.0,0.11764705882352941,52,592
nat,429591,-33.0,0.0,0.09090909090909091,54,592
nat,429592,-32.0,0.0,0.0913978494623656,57,592
nat,429593,-31.0,0.0,0.06299212598425197,65,592
nat,429594,-30.0,0.0,0.12598425196850394,65,592
nat,429595,-29.0,0.0,0.18090452261306533,62,592
nat,429596,-28.0,0.0,0.16272189349112426,70,592
nat,429597,-27.0,0.0,0.12956810631229235,68,592
nat,429598,-26.0,0.0,0.15568862275449102,53,592
nat,429599,-25.0,0.0,0.16326530612244897,75,592
nat,429600,-24.0,0.0,0.0875,83,592
nat,429601,-23.0,0.0,0.2607361963190184,78,592
nat,429602,-22.0,0.0,0.2490974729241877,70,592
nat,429603,-21.0,0.0,0.14166666666666666,64,592
nat,429604,-20.0,0.0,0.36619718309859156,38,592
nat,429605,-19.0,0.0,0.18421052631578946,40,592
nat,429606,-18.0,0.0,0.0,8,592
nat,429607,-17.0,0.0,0.0,6,592
nat,429608,-16.0,0.0,0.08333333333333333,13,592
nat,429609,-15.0,0.0,0.15217391304347827,32,592
nat,429610,-14.0,0.0,0.09734513274336283,65,592
nat,429611,-13.0,0.0,0.11004784688995216,62,592
nat,429612,-12.0,0.0,0.20089285714285715,61,592
nat,429613,-11.0,0.0,0.11206896551724138,79,592
nat,429614,-10.0,0.0,0.14931237721021612,92,592
nat,429615,-9.0,0.0,0.14861995753715498,87,592
nat,429616,-8.0,0.0,0.13078470824949698,92,592
nat,429617,-7.0,0.0,0.11818181818181818,89,592
nat,429618,-6.0,0.0,0.27640449438202247,83,592
nat,429619,-5.0,0.0,0.1424802110817942,83,592
nat,429620,-4.0,0.0,0.1645021645021645,92,592
nat,429621,-3.0,0.0,0.178743961352657,100,592
nat,429622,-2.0,0.0,0.24829157175398633,117,592
nat,429623,-1.0,0.0,0.14503042596348883,202,592
nat,429624,0.0,1.0,1.0,592,592
nat,429625,1.0,0.0,0.22388059701492538,191,592
nat,429626,2.0,0.0,0.3844714686623012,168,592
nat,429627,3.0,0.0,0.2971985383678441,139,592
nat,429628,4.0,0.0,0.23023457862728064,118,592
nat,429629,5.0,0.0,0.2268041237113402,93,592
nat,429630,6.0,0.0,0.35684647302904565,59,592
nat,429631,7.0,0.0,0.4688995215311005,51,592
nat,429632,8.0,0.0,0.203125,39,592
nat,429633,9.0,0.0,0.28936170212765955,50,592
nat,429634,10.0,0.0,0.24193548387096775,68,592
nat,429635,11.0,0.0,0.20689655172413793,81,592
nat,429636,12.0,0.0,0.24780976220275344,101,592
nat,429637,13.0,0.0,0.2797281993204983,113,592
nat,429638,14.0,0.0,0.20447284345047922,87,592
nat,429639,15.0,0.0,0.2838541666666667,92,592
nat,429640,16.0,0.0,0.21232876712328766,86,592
nat,429641,17.0,0.0,0.18333333333333332,84,592
nat,429642,18.0,0.0,0.26424050632911394,88,592
nat,429643,19.0,0.0,0.28169014084507044,79,592
nat,429644,20.0,0.0,0.41846153846153844,74,592
nat,429645,21.0,0.0,0.14526315789473684,82,592
nat,429646,22.0,0.0,0.29193899782135074,77,592
