manifestacion,hour,hour_rel,layer_abs,ami_paper_style,n_nodes_ref,n_edges_layer,n_comms_ref,n_comms_layer
nat,429576,-48.0,48.0,0.0,592,148,34,533
nat,429577,-47.0,47.0,0.0,592,152,34,537
nat,429578,-46.0,46.0,0.0,592,129,34,549
nat,429579,-45.0,45.0,0.0,592,90,34,562
nat,429580,-44.0,44.0,0.0,592,43,34,576
nat,429581,-43.0,43.0,0.0,592,8,34,586
nat,429582,-42.0,42.0,0.0,592,5,34,588
nat,429583,-41.0,41.0,0.0,592,18,34,584
nat,429584,-40.0,40.0,0.0,592,4,34,589
nat,429585,-39.0,39.0,0.0,592,5,34,589
nat,429586,-38.0,38.0,0.0,592,50,34,573
nat,429587,-37.0,37.0,0.0,592,99,34,563
nat,429588,-36.0,36.0,0.0,592,68,34,569
nat,429589,-35.0,35.0,0.0,592,70,34,555
nat,429590,-34.0,34.0,0.0,592,81,34,555
nat,429591,-33.0,33.0,0.0,592,81,34,558
nat,429592,-32.0,32.0,0.0,592,48,34,563
nat,429593,-31.0,31.0,0.0,592,53,34,557
nat,429594,-30.0,30.0,0.0,592,150,34,553
nat,429595,-29.0,29.0,0.0,592,120,34,551
nat,429596,-28.0,28.0,0.0,592,106,34,548
nat,429597,-27.0,27.0,0.0,592,91,34,550
nat,429598,-26.0,26.0,0.0,592,51,34,564
nat,429599,-25.0,25.0,0.0,592,140,34,539
nat,429600,-24.0,24.0,0.0,592,145,34,536
nat,429601,-23.0,23.0,0.0,592,126,34,539
nat,429602,-22.0,22.0,0.0,592,110,34,544
nat,429603,-21.0,21.0,0.0,592,72,34,549
nat,429604,-20.0,20.0,0.0,592,57,34,570
nat,429605,-19.0,19.0,0.0,592,60,34,568
nat,429606,-18.0,18.0,0.0,592,5,34,588
nat,429607,-17.0,17.0,0.0,592,1,34,591
nat,429608,-16.0,16.0,0.0,592,3,34,589
nat,429609,-15.0,15.0,0.0,592,28,34,575
nat,429610,-14.0,14.0,0.0,592,80,34,548
nat,429611,-13.0,13.0,0.0,592,79,34,549
nat,429612,-12.0,12.0,0.0,592,145,34,551
nat,429613,-11.0,11.0,0.0,592,192,34,532
nat,429614,-10.0,10.0,0.0,592,251,34,520
nat,429615,-9.0,9.0,0.0,592,224,34,525
nat,429616,-8.0,8.0,0.0,592,260,34,523
nat,429617,-7.0,7.0,0.0,592,146,34,533
nat,429618,-6.0,6.0,0.0,592,216,34,532
nat,429619,-5.0,5.0,0.0,592,136,34,531
nat,429620,-4.0,4.0,0.0,592,177,34,528
nat,429621,-3.0,3.0,0.0,592,296,34,511
nat,429622,-2.0,2.0,0.0,592,406,34,501
nat,429623,-1.0,1.0,0.0,592,2291,34,409
nat,429624,0.0,0.0,1.0,592,4470,34,34
nat,429625,1.0,1.0,0.0,592,2478,34,413
nat,429626,2.0,2.0,0.0,592,1325,34,435
nat,429627,3.0,3.0,0.0,592,847,34,463
nat,429628,4.0,4.0,0.0,592,658,34,484
nat,429629,5.0,5.0,0.0,592,652,34,511
nat,429630,6.0,6.0,0.0,592,349,34,539
nat,429631,7.0,7.0,0.0,592,275,34,549
nat,429632,8.0,8.0,0.0,592,129,34,562
nat,429633,9.0,9.0,0.0,592,328,34,550
nat,429634,10.0,10.0,0.0,592,234,34,537
nat,429635,11.0,11.0,0.0,592,398,34,518
nat,429636,12.0,12.0,0.0,592,445,34,507
nat,429637,13.0,13.0,0.0,592,645,34,498
nat,429638,14.0,14.0,0.0,592,226,34,522
nat,429639,15.0,15.0,0.0,592,339,34,521
nat,429640,16.0,16.0,0.0,592,256,34,529
nat,429641,17.0,17.0,0.0,592,211,34,531
nat,429642,18.0,18.0,0.0,592,220,34,529
nat,429643,19.0,19.0,0.0,592,203,34,530
nat,429644,20.0,20.0,0.0,592,204,34,537
nat,429645,21.0,21.0,0.0,592,133,34,535
nat,429646,22.0,22.0,0.0,592,140,34,542
nat,429647,23.0,23.0,0.0,592,111,34,541
nat,429648,24.0,24.0,0.0,592,115,34,543
nat,429649,25.0,25.0,0.0,592,92,34,559
nat,429650,26.0,26.0,0.0,592,92,34,555
nat,429651,27.0,27.0,0.0,592,46,34,569
nat,429652,28.0,28.0,0.0,592,98,34,554
nat,429653,29.0,29.0,0.0,592,62,34,571
nat,429654,30.0,30.0,0.0,592,10,34,584
nat,429655,31.0,31.0,0.0,592,8,34,587
nat,429656,32.0,32.0,0.0,592,6,34,587
nat,429657,33.0,33.0,0.0,592,1,34,591
nat,429658,34.0,34.0,0.0,592,18,34,578
nat,429659,35.0,35.0,0.0,592,142,34,558
nat,429660,36.0,36.0,0.0,592,76,34,553
nat,429661,37.0,37.0,0.0,592,92,34,555
nat,429662,38.0,38.0,0.0,592,57,34,561
nat,429663,39.0,39.0,0.0,592,82,34,546
nat,429664,40.0,40.0,0.0,592,63,34,558
nat,429665,41.0,41.0,0.0,592,92,34,557
nat,429666,42.0,42.0,0.0,592,35,34,569
